State,Date,Total,Year,Month,Week,Quarter,Lag_1,Lag_7,Lag_30,Rolling_Mean_4,Rolling_Std_4,Is_US_Holiday,Is_Indian_Holiday
Alabama,2019-08-11,110419613.42222224,2019,8,32,3,112755503.04444444,126770840.77777778,109574036.0,113923447.85555556,3015620.535148302,0,0
Alabama,2019-08-18,108083723.8,2019,8,33,3,110419613.42222224,124434951.15555556,109864599.08888888,111587558.23333335,3015620.535148256,0,0
Alabama,2019-08-25,123912658.15,2019,8,34,3,108083723.8,122099061.53333332,110155162.17777778,113792874.60416667,7010930.81489581,0,0
Alabama,2019-09-01,139741592.5,2019,9,35,3,123912658.15,119763171.91111112,110445725.26666668,120539396.96805556,14579174.84327764,0,0
Alabama,2019-09-08,155570526.85,2019,9,36,3,139741592.5,117427282.28888889,110736288.35555556,131827125.32499999,20435066.375253554,0,0
Alabama,2019-09-15,171399461.2,2019,9,37,3,155570526.85,115091392.66666669,111026851.44444443,147656059.675,20435066.37525362,0,0
Alabama,2019-09-22,187228395.55,2019,9,38,3,171399461.2,112755503.04444444,111317414.53333332,163484994.025,20435066.375253707,0,0
Alabama,2019-09-29,203057329.9,2019,9,39,3,187228395.55,110419613.42222224,111607977.6222222,179313928.375,20435066.375253785,0,0
Alabama,2019-10-06,218886264.25,2019,10,40,4,203057329.9,108083723.8,111898540.71111111,195142862.725,20435066.375253845,0,0
Alabama,2019-10-13,234715198.6,2019,10,41,4,218886264.25,123912658.15,112189103.8,210971797.07500002,20435066.375253905,0,0
Alabama,2019-10-20,116218908.9,2019,10,42,4,234715198.6,139741592.5,113490459.6923077,193219425.4125,52935651.86852064,0,0
Alabama,2019-10-27,109968010.6,2019,10,43,4,116218908.9,155570526.85,114791815.58461538,169947095.5875,66015548.87014387,0,0
Alabama,2019-11-03,109664143.73333332,2019,11,44,4,109968010.6,171399461.2,116093171.47692308,142641565.4583333,61456711.676363125,0,0
Alabama,2019-11-10,109360276.86666666,2019,11,45,4,109664143.73333332,187228395.55,117394527.36923076,111302835.02499999,3286760.306538854,0,0
Alabama,2019-11-17,109056410.0,2019,11,46,4,109360276.86666666,203057329.9,118695883.26153846,109512210.3,392290.43801766273,0,0
Alabama,2019-11-24,113040422.1,2019,11,47,4,109056410.0,218886264.25,119997239.15384616,110280313.175,1856723.9831781585,0,0
Alabama,2019-12-01,111536433.53333332,2019,12,48,4,113040422.1,234715198.6,121298595.04615384,110748385.625,1885389.2744918598,0,0
Alabama,2019-12-08,110032444.96666668,2019,12,49,4,111536433.53333332,116218908.9,122599950.93846154,110916427.64999999,1745169.5965087512,0,0
Alabama,2019-12-15,108528456.4,2019,12,50,4,110032444.96666668,109968010.6,123901306.83076924,110784439.25,1941640.8905281,0,0
Alabama,2019-12-22,116541575.0,2019,12,51,4,108528456.4,109664143.73333332,125202662.72307692,111659727.47500001,3478531.4698615847,0,0
Alabama,2019-12-29,106949922.2,2019,12,52,4,116541575.0,109360276.86666666,126504018.61538462,110513099.64166667,4211436.268864374,0,0
Alabama,2020-01-05,116651493.0,2020,1,1,1,106949922.2,109056410.0,127805374.5076923,112167861.65,5154431.143144634,0,0
Alabama,2020-01-12,120522113.9,2020,1,2,1,116651493.0,113040422.1,129106730.4,115166276.025,5781890.87451317,0,0
Alabama,2020-01-19,105904865.6,2020,1,3,1,120522113.9,111536433.53333332,126770840.77777778,112507098.675,7208517.307763665,0,0
Alabama,2020-01-26,106265736.6,2020,1,4,1,105904865.6,110032444.96666668,124434951.15555556,112336052.275,7390163.0117819,0,0
Alabama,2020-02-02,108358279.6,2020,2,5,1,106265736.6,108528456.4,122099061.53333332,110262748.925,6924565.63500869,0,0
Alabama,2020-02-09,131945461.1,2020,2,6,1,108358279.6,116541575.0,119763171.91111112,113118585.725,12597765.01290779,0,0
Alabama,2020-02-16,107397612.3,2020,2,7,1,131945461.1,106949922.2,117427282.28888889,113491772.39999999,12332149.794628495,0,0
Alabama,2020-02-23,107801054.3,2020,2,8,1,107397612.3,116651493.0,115091392.66666669,113875601.825,12053009.785557989,0,0
Alabama,2020-03-01,117933592.6,2020,3,9,1,107801054.3,120522113.9,112755503.04444444,116269430.07499999,11531549.830873922,0,0
Alabama,2020-03-08,128066130.9,2020,3,10,1,117933592.6,105904865.6,110419613.42222224,115299597.52499999,9808020.960136317,0,0
Alabama,2020-03-15,132632134.0,2020,3,11,1,128066130.9,106265736.6,108083723.8,121608227.95,11066044.223472811,0,0
Alabama,2020-03-22,127145065.2,2020,3,12,1,132632134.0,108358279.6,123912658.15,126444230.675,6160163.346710709,0,0
Alabama,2020-03-29,116657084.0,2020,3,13,1,127145065.2,131945461.1,139741592.5,126125103.525,6752598.226296038,0,0
Alabama,2020-04-05,125185357.0,2020,4,14,2,116657084.0,107397612.3,155570526.85,125404910.05,6629066.553503808,0,0
Alabama,2020-04-12,133713630.0,2020,4,15,2,125185357.0,107801054.3,171399461.2,125675284.05,7031908.771140287,0,0
Alabama,2020-04-19,117742073.2,2020,4,16,2,133713630.0,117933592.6,187228395.55,123324536.05000001,7895457.259727773,0,0
Alabama,2020-04-26,118114595.0,2020,4,17,2,117742073.2,128066130.9,203057329.9,123688913.80000001,7509376.812741295,0,0
Alabama,2020-05-03,104239954.2,2020,5,18,2,118114595.0,132632134.0,218886264.25,118452563.10000001,12048754.19570077,0,0
Alabama,2020-05-10,261674212.40000004,2020,5,19,2,104239954.2,127145065.2,234715198.6,150442708.70000002,74434715.10044758,0,0
Alabama,2020-05-17,130340051.0,2020,5,20,2,261674212.40000004,116657084.0,116218908.9,153592203.15,72839294.47670303,0,0
Alabama,2020-05-24,134708618.7,2020,5,21,2,130340051.0,125185357.0,109968010.6,157740709.075,70582757.89357218,0,0
Alabama,2020-05-31,129887876.9,2020,5,22,2,134708618.7,133713630.0,109664143.73333332,164152689.75,65050679.31711774,0,0
Alabama,2020-06-07,257650038.8,2020,6,23,2,129887876.9,117742073.2,109360276.86666666,163146646.35,63039752.12770591,0,0
Alabama,2020-06-14,385412200.7,2020,6,24,2,257650038.8,118114595.0,109056410.0,226914683.775,121081631.70478174,0,0
Alabama,2020-06-21,133712552.3,2020,6,25,2,385412200.7,104239954.2,113040422.1,226665667.175,121335231.8258207,0,0
