State,Best_Model,MAE
Alabama,XGBoost,94112315.52826086
Arizona,XGBoost,117585974.1347826
Arkansas,XGBoost,46262758.61304349
California,XGBoost,421792440.6847826
Colorado,XGBoost,87567837.8347826
Connecticut,XGBoost,38693101.11304348
Florida,XGBoost,323707305.12391305
Georgia,XGBoost,166263133.34347826
Illinois,XGBoost,132957153.79782608
Indiana,XGBoost,99255373.74347828
Iowa,XGBoost,56789434.48260869
Kansas,XGBoost,36774559.32717392
Kentucky,XGBoost,75875235.2347826
Louisiana,XGBoost,75931283.82608697
Maine,XGBoost,21588285.1
Maryland,XGBoost,66015952.85434782
Massachusetts,XGBoost,73144536.30652174
Michigan,XGBoost,139185413.62391305
Minnesota,XGBoost,68858409.5304348
Mississippi,XGBoost,43335369.03722826
Missouri,XGBoost,96062016.05
Nebraska,XGBoost,30133765.860869568
Nevada,XGBoost,43930371.13695653
New Hampshire,XGBoost,22706846.922078807
New Mexico,XGBoost,34470135.1326087
New York,XGBoost,188251471.25
North Carolina,XGBoost,142841643.2304348
Ohio,XGBoost,172318604.60652173
Oklahoma,XGBoost,66854801.71086956
Oregon,XGBoost,52261013.88043478
Pennsylvania,XGBoost,153071075.4434783
Rhode Island,XGBoost,12506561.879347827
South Carolina,XGBoost,77824814.93279551
South Dakota,XGBoost,13549688.10652174
Tennessee,XGBoost,110670176.86086956
Texas,XGBoost,432932043.9130435
Utah,XGBoost,37937346.19347826
Vermont,XGBoost,7823835.844565218
Virginia,XGBoost,121646087.06086956
Washington,XGBoost,81036566.89130434
West Virginia,XGBoost,29815983.79021739
Wisconsin,XGBoost,69978491.5326087
Wyoming,XGBoost,9998178.84402174
