State,Date,Total
Alabama,2019-01-13,109574036.0
Alabama,2019-01-20,109864599.08888888
Alabama,2019-01-27,110155162.17777778
Alabama,2019-02-03,110445725.26666667
Alabama,2019-02-10,110736288.35555555
Alabama,2019-02-17,111026851.44444445
Alabama,2019-02-24,111317414.53333333
Alabama,2019-03-03,111607977.62222221
Alabama,2019-03-10,111898540.71111111
Alabama,2019-03-17,112189103.8
Alabama,2019-03-24,113490459.6923077
Alabama,2019-03-31,114791815.58461538
Alabama,2019-04-07,116093171.47692308
Alabama,2019-04-14,117394527.36923076
Alabama,2019-04-21,118695883.26153846
Alabama,2019-04-28,119997239.15384616
Alabama,2019-05-05,121298595.04615384
Alabama,2019-05-12,122599950.93846154
Alabama,2019-05-19,123901306.83076924
Alabama,2019-05-26,125202662.72307692
Alabama,2019-06-02,126504018.61538462
Alabama,2019-06-09,127805374.5076923
Alabama,2019-06-16,129106730.4
Alabama,2019-06-23,126770840.77777778
Alabama,2019-06-30,124434951.15555556
Alabama,2019-07-07,122099061.53333333
Alabama,2019-07-14,119763171.91111112
Alabama,2019-07-21,117427282.28888889
Alabama,2019-07-28,115091392.66666667
Alabama,2019-08-04,112755503.04444444
Alabama,2019-08-11,110419613.42222223
Alabama,2019-08-18,108083723.8
Alabama,2019-08-25,123912658.14999999
Alabama,2019-09-01,139741592.5
Alabama,2019-09-08,155570526.85
Alabama,2019-09-15,171399461.2
Alabama,2019-09-22,187228395.55
Alabama,2019-09-29,203057329.89999998
Alabama,2019-10-06,218886264.25
Alabama,2019-10-13,234715198.6
Alabama,2019-10-20,116218908.89999999
Alabama,2019-10-27,109968010.6
Alabama,2019-11-03,109664143.73333333
Alabama,2019-11-10,109360276.86666666
Alabama,2019-11-17,109056410.0
Alabama,2019-11-24,113040422.1
Alabama,2019-12-01,111536433.53333333
Alabama,2019-12-08,110032444.96666667
Alabama,2019-12-15,108528456.4
Alabama,2019-12-22,116541575.0
Alabama,2019-12-29,106949922.2
Alabama,2020-01-05,116651493.0
Alabama,2020-01-12,120522113.9
Alabama,2020-01-19,105904865.60000001
Alabama,2020-01-26,106265736.60000001
Alabama,2020-02-02,108358279.6
