State,Date,Predicted_Sales
Alabama,2023-12-10,418126850.415058
Alabama,2023-12-17,423394583.5727634
Alabama,2023-12-24,419976263.908722
Alabama,2023-12-31,437026240.8071101
Alabama,2024-01-07,451902554.3619912
Alabama,2024-01-14,449516665.96373177
Alabama,2024-01-21,485519577.658676
Alabama,2024-01-28,488388254.1781221
Arizona,2023-12-10,447016588.68644124
Arizona,2023-12-17,461865883.44220287
Arizona,2023-12-24,467820922.8393767
Arizona,2023-12-31,468689342.5921288
Arizona,2024-01-07,496356804.54952335
Arizona,2024-01-14,498385019.5518627
Arizona,2024-01-21,488641002.60823447
Arizona,2024-01-28,509023621.51978046
Arkansas,2023-12-10,220478786.89541987
Arkansas,2023-12-17,219196339.39824495
Arkansas,2023-12-24,228827928.2378163
Arkansas,2023-12-31,229333196.0344588
Arkansas,2024-01-07,247207200.24574277
Arkansas,2024-01-14,253155585.887178
Arkansas,2024-01-21,259676066.0601029
Arkansas,2024-01-28,243829689.49846047
California,2023-12-10,1782344138.845705
California,2023-12-17,1885620468.2910345
California,2023-12-24,1935009922.9422276
California,2023-12-31,1915163015.7425308
California,2024-01-07,1902464686.1240935
California,2024-01-14,1904032993.107351
California,2024-01-21,1993585640.593383
California,2024-01-28,2100855301.1501167
Colorado,2023-12-10,352606441.59771174
Colorado,2023-12-17,376669173.0173546
Colorado,2023-12-24,368742133.41026807
Colorado,2023-12-31,374182131.7576612
Colorado,2024-01-07,400456224.37754273
Colorado,2024-01-14,412355579.4697964
Colorado,2024-01-21,402147769.42245907
Colorado,2024-01-28,401365095.2583758
Connecticut,2023-12-10,182575307.89821476
Connecticut,2023-12-17,182623287.514929
Connecticut,2023-12-24,193100908.36940268
Connecticut,2023-12-31,195118039.01331225
Connecticut,2024-01-07,201299297.3464927
Connecticut,2024-01-14,192635269.08066878
Connecticut,2024-01-21,210514349.89423636
Connecticut,2024-01-28,205201948.99288592
Florida,2023-12-10,1632973843.8949301
Florida,2023-12-17,1628618607.0380447
Florida,2023-12-24,1592204769.8346741
Florida,2023-12-31,1636762389.879005
Florida,2024-01-07,1621561008.3873503
Florida,2024-01-14,1797350895.7688782
Florida,2024-01-21,1754909230.8801737
Florida,2024-01-28,1782156852.9695556
Georgia,2023-12-10,787873102.4553925
Georgia,2023-12-17,768520506.5436226
Georgia,2023-12-24,822378492.0932739
Georgia,2023-12-31,842980288.035685
Georgia,2024-01-07,829389247.2908231
Georgia,2024-01-14,828674398.0319471
Georgia,2024-01-21,872232712.9819776
Georgia,2024-01-28,869807875.1982509
Illinois,2023-12-10,692004946.7765344
Illinois,2023-12-17,703394066.4930987
Illinois,2023-12-24,695536992.560334
Illinois,2023-12-31,673316996.4009149
Illinois,2024-01-07,683692444.4130113
Illinois,2024-01-14,714162817.2668189
Illinois,2024-01-21,719134547.9830077
Illinois,2024-01-28,773856454.3885086
Indiana,2023-12-10,458724918.1305023
Indiana,2023-12-17,477843076.61461127
Indiana,2023-12-24,472786821.6346466
Indiana,2023-12-31,476743921.8183896
Indiana,2024-01-07,473782831.9628728
Indiana,2024-01-14,506532407.5141933
Indiana,2024-01-21,519121738.83663464
Indiana,2024-01-28,534989965.2908245
Iowa,2023-12-10,243971354.39394236
Iowa,2023-12-17,245151860.27113244
Iowa,2023-12-24,243289787.2957775
Iowa,2023-12-31,247076263.81550094
Iowa,2024-01-07,244539671.9736098
Iowa,2024-01-14,252637580.01947725
Iowa,2024-01-21,262455923.36791325
Iowa,2024-01-28,271336069.5975253
Kansas,2023-12-10,183128100.15706745
Kansas,2023-12-17,181735069.61675736
Kansas,2023-12-24,193069387.39545894
Kansas,2023-12-31,184470058.58125553
Kansas,2024-01-07,191692977.42938164
Kansas,2024-01-14,196108912.31586182
Kansas,2024-01-21,208901186.47457236
Kansas,2024-01-28,211662394.691372
Kentucky,2023-12-10,354137382.430256
Kentucky,2023-12-17,362140324.8181123
Kentucky,2023-12-24,366270251.00329256
Kentucky,2023-12-31,382595260.8202957
Kentucky,2024-01-07,371955205.0558785
Kentucky,2024-01-14,385021876.4936638
Kentucky,2024-01-21,382574291.01775247
Kentucky,2024-01-28,386680967.5848795
Louisiana,2023-12-10,389508829.98453814
Louisiana,2023-12-17,367862964.4892231
Louisiana,2023-12-24,396789070.5675058
Louisiana,2023-12-31,383568400.0787236
Louisiana,2024-01-07,400837547.01968634
Louisiana,2024-01-14,409719822.62735385
Louisiana,2024-01-21,424719257.37951493
Louisiana,2024-01-28,415465406.04692245
Maine,2023-12-10,95939684.9252991
Maine,2023-12-17,94400588.19819531
Maine,2023-12-24,98448024.38461484
Maine,2023-12-31,106104168.4110614
Maine,2024-01-07,102330662.15485807
Maine,2024-01-14,104385155.17296964
Maine,2024-01-21,108264901.40082382
Maine,2024-01-28,109819692.24072611
Maryland,2023-12-10,333842512.28917056
Maryland,2023-12-17,324506328.0381831
Maryland,2023-12-24,332380674.70531225
Maryland,2023-12-31,350689709.75555533
Maryland,2024-01-07,351063744.991136
Maryland,2024-01-14,373852991.3776355
Maryland,2024-01-21,385698262.6514616
Maryland,2024-01-28,373559617.07955086
Massachusetts,2023-12-10,387985816.5609731
Massachusetts,2023-12-17,388656274.58148456
Massachusetts,2023-12-24,409324569.27318835
Massachusetts,2023-12-31,385065294.001963
Massachusetts,2024-01-07,410586703.55239666
Massachusetts,2024-01-14,429664786.986122
Massachusetts,2024-01-21,425835672.6036672
Massachusetts,2024-01-28,423627100.51754194
Michigan,2023-12-10,569516992.6645935
Michigan,2023-12-17,637863670.6774364
Michigan,2023-12-24,638334755.7639134
Michigan,2023-12-31,656167100.9239634
Michigan,2024-01-07,659398408.252029
Michigan,2024-01-14,645796430.9390271
Michigan,2024-01-21,694633393.5723482
Michigan,2024-01-28,705693101.2435849
Minnesota,2023-12-10,310292001.0857165
Minnesota,2023-12-17,336100023.5140214
Minnesota,2023-12-24,331842075.8912091
Minnesota,2023-12-31,339189046.74922514
Minnesota,2024-01-07,348566402.42607284
Minnesota,2024-01-14,344268793.4424462
Minnesota,2024-01-21,361667791.1126798
Minnesota,2024-01-28,359406752.714882
Mississippi,2023-12-10,260435259.25960788
Mississippi,2023-12-17,258954142.2566143
Mississippi,2023-12-24,272771701.9134341
Mississippi,2023-12-31,272622854.27256995
Mississippi,2024-01-07,277326573.84487593
Mississippi,2024-01-14,270861934.6034784
Mississippi,2024-01-21,274164928.3293094
Mississippi,2024-01-28,279607431.2291317
Missouri,2023-12-10,386888787.0396943
Missouri,2023-12-17,402969998.764697
Missouri,2023-12-24,399659561.7831632
Missouri,2023-12-31,416753477.5543844
Missouri,2024-01-07,424229318.7615789
Missouri,2024-01-14,411931201.76803213
Missouri,2024-01-21,426203756.23476905
Missouri,2024-01-28,438778695.2076035
Nebraska,2023-12-10,120319406.11749709
Nebraska,2023-12-17,128442778.38964568
