State,Model,MAE
Alabama,XGBoost,94112315.52826086
Alabama,Prophet,169314663.2579733
Alabama,SARIMA,173025764.7203588
Alabama,LSTM,262800795.63084945
Arizona,XGBoost,117585974.1347826
Arizona,Prophet,163567525.34396106
Arizona,SARIMA,211433014.70245668
Arizona,LSTM,236529954.03277063
Arkansas,XGBoost,46262758.61304349
Arkansas,Prophet,69862269.56457599
Arkansas,SARIMA,100023176.50477795
Arkansas,LSTM,141125157.1326054
California,XGBoost,421792440.6847826
California,Prophet,642457716.5112224
California,SARIMA,971569341.7111696
California,LSTM,1483048117.0133998
Colorado,XGBoost,87567837.8347826
Colorado,Prophet,116333211.44557546
Colorado,SARIMA,185676061.9206007
Colorado,LSTM,231705252.05759567
Connecticut,XGBoost,38693101.11304348
Connecticut,Prophet,68151053.84972696
Connecticut,SARIMA,62350719.57407644
Connecticut,LSTM,91562095.860638
Florida,XGBoost,323707305.12391305
Florida,Prophet,558148361.623732
Florida,SARIMA,735510194.0734206
Florida,LSTM,873694637.5228956
Georgia,XGBoost,166263133.34347826
Georgia,Prophet,250637751.3873517
Georgia,SARIMA,332700360.9038081
Georgia,LSTM,623445509.5748055
Illinois,XGBoost,132957153.79782608
Illinois,Prophet,225299597.0626675
Illinois,SARIMA,208450269.2935705
Illinois,LSTM,387060669.4419727
Indiana,XGBoost,99255373.74347828
Indiana,Prophet,153826613.80615214
Indiana,SARIMA,154611536.62969723
Indiana,LSTM,331403425.07898223
Iowa,XGBoost,56789434.48260869
Iowa,Prophet,94495108.58694622
Iowa,SARIMA,114081263.72864096
Iowa,LSTM,122187552.391642
Kansas,XGBoost,36774559.32717392
Kansas,Prophet,49187269.72528132
Kansas,SARIMA,62216506.83160816
Kansas,LSTM,117774863.34799752
Kentucky,XGBoost,75875235.2347826
Kentucky,Prophet,105382412.13249864
Kentucky,SARIMA,124503125.40949084
Kentucky,LSTM,198291437.5587336
Louisiana,XGBoost,75931283.82608697
Louisiana,Prophet,92898527.7022208
Louisiana,SARIMA,129981150.11137536
Louisiana,LSTM,297788238.4204043
Maine,XGBoost,21588285.1
Maine,Prophet,29720290.90910072
Maine,SARIMA,38958741.76929499
Maine,LSTM,65846314.24890828
Maryland,XGBoost,66015952.85434782
Maryland,Prophet,114939821.5179743
Maryland,SARIMA,108875089.12152322
Maryland,LSTM,194370524.2198659
Massachusetts,XGBoost,73144536.30652174
Massachusetts,Prophet,95870975.46202032
Massachusetts,SARIMA,145768071.67751145
Massachusetts,LSTM,164323342.8473782
Michigan,XGBoost,139185413.62391305
Michigan,Prophet,212603602.99456587
Michigan,SARIMA,308151512.33603984
Michigan,LSTM,392265273.6694057
Minnesota,XGBoost,68858409.5304348
Minnesota,Prophet,107055665.87853624
Minnesota,SARIMA,160312192.06737167
Minnesota,LSTM,268466702.3650305
Mississippi,XGBoost,43335369.03722826
Mississippi,Prophet,77136935.1287326
Mississippi,SARIMA,88141440.63771859
Mississippi,LSTM,162359554.68548048
Missouri,XGBoost,96062016.05
Missouri,Prophet,147816473.31808096
Missouri,SARIMA,202982282.67811447
Missouri,LSTM,242777220.83330584
